UserName,Review Text,Rating
Muhammad yasashi Kanemochi,"Subject: Saran Fitur: Tambahkan Musik ke Postingan Foto di Feed Pesan: Halo Tim Instagram, Saya ingin mengusulkan fitur baru yang memungkinkan pengguna menambahkan musik ke postingan foto di feed. Fitur musik di Stories dan Reels sangat menarik dan membantu kami mengekspresikan diri dengan lebih kreatif. Namun, saat ini, pengguna tidak dapat menambahkan musik ke foto yang diposting di feed. Dengan adanya fitur ini, kami bisa membagikan momen-momen spesial dalam bentuk foto sambil diiringi mu",5
Estevaniya emmanuela,"Fitur keamanan jelek, masa setiap mau minta bantuan ngebug ngebug terus. Mau rekam video wajah langsung ngebug tekembali lalu minta bantuan teman malah tidak ada notifikasi nya masuk",1
Mikasa Ackarman,"Kenapa pas memulihkan akun menggunakan poto/vidio diri sendiri. sesudah memasukan kode Verifikasi email, dan menuju langkah selanjutnya layar hp saya putih semua dan gak ada tulisan apapun, udah ku tunggu 1 jam gak berubah rubah. Di perbaiki doang aplikasi ig nya buruk banget padahal sinyal pull gak ada hujan gak ada angin sampah bet lama kelamaan ig ini.",1
liasyarasputrii,"Tolong dong instagram, ini Dari bulan kemarin error terus gabisa buka story, buka reels, tulisan nya "" tidak bisa memuat beranda "" Akhir akhir kemarin udah bisa, Sekarang gabisa lagi, Padahal saya pake wifi dan wifi nya stabil, bisa buka aplikasi lain dan aman aman aja, Mohon segera diperbaiki karna instagram sangat penting bagi saya. Terimakasih banyak. 🙏🏻",1
Rahadyan Prabowo,"Saya mengalami lag yang parah baru2 ini. Story selalu nge lag, tidak bisa refresh story baru, ketika mau back keluar malah nge freeze, dan aplikasi error. Tolong dibantu dan diperbaiki",1
Teresia Teravila Puspa Kirani,"salah satu aplikasi fav akuu, dari dulu sukanya pake ini dulu itu kaya ga ada kekurangan nya sama sekali, tapi kok sekarang malah kaya ada bug banyak gitu ya, salah satunya nih, kalo kita buat story ig, terus mau kita buat ke sorotan ko ga ada fotonyaa, terus pas hari besoknya ilang terus ada tulisan ""cerita tidak tersedia"" tolong dong buat di upgrade lagi ig nya, padahal itu udah bagus udah aesthetik gitu buat di masukin ke sorotan tapi malah ilangg TOLONG YA!",4
Leony Illena Geusty,"Tolong buat pihak instagram, keluhan pengguna di tanggapin. Jangan cuma di anggurin. 😡 Instagram saya udh hampir seminggu error ngak bisa tampil gambar / reals..hanya loading2 saja. Padahal di saat yg sama saya masih bisa streaming netflix dll, masih bisa video call, dan kuota jg banyak. Tolong di perbaiki dong.",1
Manik Metaokta,Bagus sih tapi tolong kembalikan fitur IG yang kayak dulu mau nyimpan video harus nyari yang mbuat nyimpen dulu dan itu sangat merepotkan sekali iklan nya sih tidak terlalu banyak filter nya juga bagus tapi yang buat nyimpen video itu lohh bikin bingung 😕 Tolong ya yang buat IG itu sangat merepotkan sekali bagi saya.,5
Suci Ramadiana,Aplikasi jelek banget! Kebangetan eror dan bug tidak di tangani cepat tolong jangan nyusahin pengguna sampai berhari hari! Masa Instagram selalu bermasalah sedangkan aplikasi lain baik baik saja! Story tidak bisa di buka dan semua serba loading padahal sinyal bagus dan untuk penggunaan pada aplikasi lain aman saja tidak lag atau bermasalah pada sinyal! Jadi yg bermasalah ya Instagram ini.,1
Rama Juliansyah,"plis lah ini instagram gua udah dua bulan kebih!!!! gabisa buka setelah ganti ke pribadi, terus malah disuruh verifikasi ke nomor yang entah punya siapa, login dengan cara apapun langsung stuck dan out instagram, langsung instagram telah berhenti!!!",1
wawa hikaru,"Halo sist, bisa tolong diperbaiki fitur instastory nya, saya ingin merepost pict feed ke story dan memakai background digaleri, namun kenapa ketika pict feed ingin diatas lalu background tidak bisa digeser, mohon diperbaiki, thank's🙏",1
Yulinda Ekawati,"Setelah diupdate malah ada mode hilang yg merugikan banget karena ditaruhnya di swipe up halaman DM, remove aja fiturnya...ga sengaja ke swipe up karena ditaruhnya di halaman dm jadi hilang semua chat2 penting..lebih baik ditaruh di pengaturan saja jangan dihalaman DM. TOLONG!",2
Siska ardila,"Makin lama makin hancur. Arsip story hilang, ga bisa di play, tiap bikin story ga bisa masuk ke arsip otomatis kayak dulu, tiap di arsip story nya malah hilang. Kerja dua kali. Hadehhh apaan",1
Yusra (Cepotzz),"Saya kesal dengan hilangnya fitur/tampilan musik di profil, setelah saya cek dengan akun saya yang kedua, musik diprofil diakun utama ada, tetapi waktu login ke akun utama tidak ada fitur/tampilan musik diprofil, Entah ini Bug atau akun saya yang bermasalah. Tolong untuk Pihak Instagram Segera Secepatnya Perbaiki Bug ini, saya ingin mengganti musik Note : Tiap cek playstore Update/Apdate tapi tidak ada Fitur/Tampilan yang baru, buang-buang Kouta aja!!👊",2
Ever Victorius,"tolong, saya mohon tetapkan kualitas foto atau video yang kita post, kalau post foto pasti selalu dikompres, usahakan tetap kualitas nya agar HD, dan jika sudah masuk highlight kenapa kualitasnya sangat menurun drastis? itu bahkan tidak terlihat ""jelas"" lagi. so far problem-nya cuma itu, sekali lagi untuk kualitas foto ataupun video jangan dikompres saat kita post! tidak peduli berapapun lama uploadnya tapi setidaknya itu HD tidak burik, aplikasi seterkenal ini mengatasi masalah kecil aja gabisa",1
Raraawaw,"Overall app best sih, mulai dari reels, acc, pesan, beranda, filter, semua nya best job. Oh ya ada beberapa yg aku pengenin/saranin dalam app ini, yaitu arsip chat atau kunci chat kayak app sebelah, jadi lebih priv gtu, lebih aman. Selebihnya oke, mungkin dari beberapa bug , kayak lihat stories ga bisa, ya mungkin hp lo yg lemot jdinya nge bug gajelas, bersihin dulu noh cache lo. And at least best job dev semoga lebih di kedepankan lagii ❤️💌",5
Evanur Nurlaila,"fitur musik di profil ilang, padahal kalo di akun lain masi ada, fitur teks font nya gaada yang berubah, pokoknya banyak banget minesnya, padahal selalu upgrade tapi fiturnya ga pernah baru selalu itu' aja kalo pun ada yang baru tapi nanti selang beberapa hari/minggu pasti ilang anehh!! di upgrade bukannya makin bagus aan meningkatkan malah makin menurun!!",1
Intana Candra Luvita,"Kenapa ya, akhir-akhir ini tuh kalau mau liat stories suka lag sendiri layarnya jadi item kadang malah muncul tulisan ""cerita ini tidak tersedia"". Padahal jaringan lancar-lancar aja kok. Buat nonton reals juga bisa. Awalnya kukira emang sinyal yang jelek, tapi sampai sekarang sering banget bug nya. Dan tolong jangan hapus fitur archive story, itu fitur penting banget bisa buat nyimpen kenangan.",2
Kitsuoka Reishi,"Untuk develpoer instagram,tolong fitur untuk menambahkan lagu di story pakai lagu yang telah disimpan jangan dihapus karena fitur nya sangat memudahkan pengguna,kemarin sempat muncul fitur itu sekarang dah dihilangkan lagi.developer tolong diberi fitur ini lagi",3
Haryani Puji,Kenapa ig makin kesini fiturnya makin jelek si. Mending update kualitas kalo bikin sg dikasih lagu tetep hd bukannya malah nurunin kualitas gambar. Dan jangan sampe fitur barunya beneran bakal hapus archive karena itu berharga bgt buat nyimpen kenangan dll.,4
OLLIVANDER S,"Kalau upload foto atau vidio di ig story kualitasnya diturunin banget ya... apalagi kalau misal foto/vidionya ditaruh di highlight. Sebulan atau setahun kemudian kalau dibuka lagi udh pecah semua gambar nya. Selain itu juga instagram sering menghapus banyak foto maupun vidio yang saya simpan di highlight, ntah alasan nya apa.. gada perbaikan bahkan makin parah dari tahun ke tahun",1
zaskya,"kenapa ya ig sering kali error/ bug, mau liat story orang misalnya, pas dipencet malah ada tulisan cerita tidak tersedia, ya gpp kalau 1 atau 2 story, tapi ini hampir semua story kayak gitu, kalau ga misal kita udah liat storynya, tapi pas di refresh muncul lagi, seakan-akan kita belum liat story itu padahal udah, jadinya habis di refresh keulang lagi², dan kemungkinan ga cuma aku yang ngalamin, beberapa temen aku juga gitu :) kan jadinya malas buat buka ig kalau gini...",3
Mintt?,"postingan ku beberapa saat lalu ada lagunya, trs selang brp hari gitu lagunya hilang dari postingan. Saat ku edit postingannya ada opsi ganti lagi, yaudah kepencet deh, setelah dpt lagi yg bagus eh sesudah di save kembali lagunya ga muncul. TOLONG!!!??!!!?",1
Fakhrur Rozi,"Hanya tambahan buat instagram dari saya, adakan sistem create/fill icon agar penggunanya leluasa untuk meletakkan icon-icon seperti, daftar reels atau postingan yang tersimpan,pengaturan, DM, atau apapun itu agar bisa di letakkan di beranda awal sesuai penggunaan dan kebutuhan.Jika fitur itu ada, akan sangat memudahkan pengguna instagram untuk memilih icon-icon yang sering atau di butuhkan penggunaan nya...sekian terimakasih, untuk semua overall good😁😁😁",5
Nayladesthanianuraini,"apaan dah makin ngaco, foto yang terbaru malah ga kesimpen padahal foto lama kesimpen, gabisa ganti foto profil pake foto terbaru karna gak kesimpen (gatau juga kenapa ga kesimpen, padahal di galeri sendiri tuh ada) trs upload video di story kagak bisa. udah berkali kali di upload tetep aja menunggu koneksi melulu, gimana sih, padahal koneksi juga bagus dan lancar, cache juga udah dibersihin, tolong cepet benerin.",1
Ryo Ardiansyah,"27-08-2023: Iklan nya terlalu banyak buat saya muak , tp dari segi postingan dan reels sudah membaik karena sebulan lalu ngebug g bisa full layar. Masalah utama nya y iklan itu sekian terima kasih. Saran iklan nya di beranda saja jangan story ataupun kolom pencarian terlalu mengganggu banget. 23-09-2024: tambah parah 3xngatur postingan gk bisa di upload stuck di memuat doang padahal jaringan bagus gk ad kendala, story juga udah ngatur nya susah² eh muncul kesalahan apa sih? Di arsip ilang juga",2
Lintang Mahendra,"Awalnya iseng² nyoba fitur izinkan menambahkan media,eh pas di nonaktifkan malah logo/lambang fiturnya tidak bisa hilang,mohon pihak Instagram untuk membenahi fitur tersebut.sya rasa tidak ada gunanya fitur tersebut yang ada malah tambah jelek postingan jadi terasa kotor karena adanya logo tersebut.",1
Aifa Ghinaya,"Sering sekali eror menguploud story, sudah berkali kali di uploud tetap saja eror. Tampilan baru Instagram sangat tidak bagus, merusak gambar yang sudah di posting, kelihatannya tidak menarik dan jelek. Saya harap tampilan Instagram seperti dulu lagi, semua menyukai tampilan Instagram sebelumnya. Saran saya tambahkan fitur timer pada Instagram story, ini sangatlah bagus jika ada fitur tersebut.",1
Lorensa Dewi,"Setiap mau post video untuk story selalu ga bisa. Di keterangannya ""menunggu koneksi"" padahal wifi nya lancar. Terus coba pakai data seluler masih sama gitu padahal kuota juga ada. Tolong diperbaiki instagram",4
Afina,"IG BUTUTTTT, KALAU BISA NGASIH BINTANG 0 LU GUA KASIH BINTANG -100 ANJINGGG. Sebelumnya baik baik aja, tapi makin kesini MAKIN SERING ngebug seolah gaada sinyal, up story gabisa padahal wifi kenceng, arsip story juga pada ilang padahal mau di add ke highlights. Tolong di benerin.",1
Nurul Juliyanti,"ini saya kasih bintang 5, but jangan sampe fitur arsip di ilangin please, karena dari semua fitur yang ada, arsip instagram jadi salah satu fitur paling berguna, kalo fitur ini hilang pasti jadi sedikit peminat. pokonya tolong pertahankan fitur arsip, kalo yang lain mau di ilangin juga gapapa, BUT FITUR ARSIP JANGAN SAMPE ILANG POKONYA.",5
Shintya Novita Sari,"Postingan foto di feeds ada lagunya, tiba-tiba hilang sendiri. Padahal adanya lagu untuk mendukung suasana foto postingan. Selanjutnya tag foto pengguna jadi tersembunyi, tidak sekali klik langsung muncul seperti dulu. Satu lagi, jangan hapus fitur arsip video karena itu kenangan berharga semua. Terlalu banyak iklan yang bersliweran di beranda juga bikin kesal. Mohon segera diperbaiki.",1
Ilham ardiansyah,"Tolong pihat ig di perhatikan lagi, masa pilihan musik di profil tiba tiba hilang, sementara di akun lain masih ada musik di profil nya, mau ngapus musik di profil jadi gk bisa karena pilihan musik nya gk ada ni, sementara musik nya masik ada kalo di lihat dari akun orang....🙏",1
Indah Astuti,"Font yg di instagram story sempat keupdate, tp sekarang balik ke semula. Font deco, poster, bubble, dan yang lain hilang. Sekarang hanya ada font default. Tampilannya juga gak keupdate, padahal versi aplikasi udah update",3
afrizal rhamdani,"ada bug dibagian story, setiap mau lihat story temen selalu ""catatan ini tidak tersedia"" padahal story baru upload, dan story yang sudah di lihat sebelumnya malah kayak story baru upload, giliran di klik emang story sebelumnya, sudah saya coba perbaiki pake segala uninstall terus install ulang tetap saja ""catatan ini tidak tersedia"" apaan coba?? rusak ini aplikasi",1
Andi Dewansyah,Tingkatkan fitur & efisiensi. Fitur repost reels ke instastory dengan background foto dengan cuma isi konten atau video pun tidak muncul padahal sudah di simpan pada layar atas sendiri,5
Dindaaa,"Ini kenapa ya liat story sama postingan kok jadi kayak pecah dan glitch gitu pdhl sinyal bagus. Udah di update kok malah kayak gini bug nya. Gabisa dark mode juga ya!!! Sumpah ya ig kenapa sii, habis di update kok malah kayak gini cuk, gabisa liat story, foto juga nge glitch pdhl sinyal juga bagus poll ga ada kendala. Baru upload story terus gabisa diliat, ada bintang 0 tak kasih bintang nol kalo bug nya ga segera di benerin",4
nunde run,"Fiturnya udah bagus tapi,tolong Pada saat nge-post itu durasinya lagunya jangan di Converse,dan jangan di potong..jadinya kurang bagus.. Itu aja..dan efeknya juga bisa diatur agar terlihat lebih bagus..terutama untuk video",2
Dedy Richard,"apasih makin ngaco, kmrn suka ngebug gabisa nyimpen foto, udh akal akalin pakai segala cara ttp gbsa, terpaksa hps semua data ni apk. eh skrg mlh gabisa nyimpan vidio reel yg kita buat sendiri, mna gda tombol ""save/simpan"", kmrn bisa di akalin, cm pakai cara simpan draft krn otomatis masuk ke galeri, skrg nyimpan draft aj ga masuk galeri, udh gt gd fitur simpan/save lgi, ky mn mw masuk galeri. masa iya hrs posting dl baru save, udh ribet+keliatan watermark nya, tlng perbaiki ni fitur, geram gua.",1
Sinta Amelia,"tolong di perbaiki lagii.saat saya membuka kamera dan ingin mencoba efek,layar menjadi kedip kedip padahal jika saya membuka kamera biasa tanpa efek itu aman aman saja tapi jika ingin menggunakan efek layar menjadi kedip kedip",3
Aulia Nur retno rahmadani,"setiap masuk apk ini selalu keluar sendiri padahal sudah muat ulang, sudah unnistal dan di istal kembali tapi tidak bisa, sudah berkali kali di buka tapi tidak bisa, ga mungkin pada hp nya apk lain aja bisa ,ini kok gak bisa sama sekali, kenapa tolong cepet diperbaiki!!!",1
Muhammad Firqi Saputra,"Tolong perbaiki bug di catatan, karena tempat memutar musik hilang di catatan. Sebelumnya ada, dan updatenya selalu ngawur dan bug sebelum nya belum diperbaiki, ini malah nambah bug baru. Mohon update-tan terbaru nya diperbaiki semua.",1
djeni astuti,Tolong kembalikan ke fitur sebelum update dong...dimana saat upload foto di story Instagram langsung bisa mengkolase(menggabungkan foto) secara otomatis ada pilihan tata letak atau mau 1 frame....ini setelah diupdate malah tidak bisa otomatis untuk kolase foto di story...harus manual satu satu ...ini merepotkan 🙏🙏🙏🙏mohon kembalikan fitur seperti sebelum update,5
Yaya Yaya,"Biasanya instagram saya baik-baik saja. Tapi sekarang sering bgt kena bug, tiba"" aku hilang atau keluar sendiri. Bbrp fitur juga ilang seperti ""undang kolaborator"" dll, pdhl saya sudah update. Tolong segera bantu perbaiki bug dan semua kesalahannya serta kembalikan fitur-fitur yg hilang 🙏✨",1
Muhammad Naufal,"Fiturnya bikin emosi, lagi enak² nonton reels malah ke refresh dan reelsnya hilang.... minimal kasihlah fitur histori reels kayak tiktok biar video yg udah ditonton bisa diakses kembali gak nyusahin cari² dulu dah nyarinya susah malah dipersulit lagi....",1
stepanus simamora,"Sistem bug terparah, masa password yang benar2 setiap hari saya log in ig tiba2 salah. Dan gilanya lagi tidak dapat memulihkan password dikarnakan kendala2 aneh seperti kode tidak masuk atau setelah memasukkan kode tidak ada kelanjutan dari aplikasinya (stuck). Setelah dicoba bantuan dari konfirmasi wajah malah loading berjamjam. Ketika minta bantuan pemulihan dari teman tiba2 check confirmationnya tidak bisa di click. Aneh Instagram, makin update makin rusak.",1
Adelia Kristina,"kenapa sekarang kalo repost postingan ke story di android tidak bisa menggunakan background ? sudah coba cara biasa tapi ada tulisan ""stiker interaktif tidak bisa ditutupi"" mohon perbaikannya",1
Tamaro Mora,"Tolong rekam aktivitas akun dengan lebih baik lagi, Aktivitas akun saya pernah tak terekam, dan itu membuat saya kesal. Dan juga tolong: •Tambahkan fitur riwayat tontonan •perbaiki menu arsip (postingan saya tiba tiba hilang saat memasukannya ke menu arsip) Mohon di perbaiki ✋😞",2
Hasna Fauziyyah,"kenapa si kalo mau bikin story selalu ada KESALAHAN, sering bgtttttt kaya gitu, bikin emosi aja, buat nyimpen foto pun sama, ig nambah buruk ah, percuma juga di update 👎👎👎, terus juga kenapa notifikasinya tuh keluar terus, muncul terus, padahal udah di apusin, tapi malah muncul terus, banyak juga notifikasinya, berkali-kali kaya gitu, jadi notifikasi lama sama notifikasi baru di gabung, intinya gitu deh, ig aneh bgt skrg",1
Irham Fahrezi,"Udah semingguan lebih instagram saya error, ga bisa liat gambar, cuma loading aja di gambar ga sama sekali muncul. Padahal buka aplikasi lain untuk streaming, video call, dll lancar. Sinyalpun penuh, tapi entah kenapa kok instagramnya error begini terus sampe sekarang.",1
Muhammad Bintang Pratama,"Semakin kesini semakin kesana nih aplikasi, terlalu eror dan banyak sekali bug. Akun saya tidak bisa lihat story, loading lama, kalau mau buka aplikasi sering keluar sendiri. Padahal internet stabil dan ketika buka aplikasi lain aman-aman saja. Nih aplikasi sangat bermasalah!!!!!!!!",1
Rbi Atl,"sebenarnya aplikasinya oke oke aja,cuman kenapa saat mau ganti sampul sorotan loading terus padahal sinyal bagus,dicoba lagi tetap juga loading, ujung-ujungnya tetap gabisa keganti,udah update juga tapi sama aja gada yg berubah,buat pihak Instagram tolong dong diperbaiki lagi",2
Adi Hanif,Menggunakan Samsung note 10 plus. 2 postingan foto denagn audio musik tiba-tiba hilang audio nya padahal judul musik dan penyanyinya tertulis. 1 postingan gambar hilang. Tidak ada notifikasi masalah dengan hak cipta. Mohon di perbaiki bug tersebut. Sudah lapor bug.,1
lynfa,tampilan musik di profil terkadang hilang. Di 1 akun ada di akun lain tidak ada. Tolong di perbaiki. Sampai sekarang terkadang ada tampilan musiknya kadang tidak. Tolong terus di tingkatkan lagi,4
Fredick,"Bug aneh, sistem instagram makin update makin aneh, setiap hari pasti kena penangguhan tapi gatau apa masalahnya, tiap hari harus sabar dan bikin repot, pas buat akun baru kena tangguh padahal baru mau buat, disuruh selfie biar gak ditangguhkan eh malah ""Ada masalah Sepertinya ada masalah terkait koneksi internet anda atau kekurangan ruang penyimpanan di perangkat anda"" Hadehh padahal koneksi lancar+penyimpanan masih oke belum full tapi hadeh makin update makin banyak bug dan penangguhan akun☹️",1
Ahmad Fauzian,"setelah update malah jadi eror, saat mengirim pesan, pesan yang saya kirim tidak terkirim, padahal tidak ada masalah sebelum update, wifi yang saya gunakan juga tidak ada masalah lancar lancar saja, tapi kenapa saat menggunakan Instagram dan mengirim pesan malah tidak terkirim dan eror",1
Agung Maha,"Hp autolock 1 menit jika tidak digunakan. Ini lagi asik nonton postingan yg durasinya lebih dari 1 menit, tiba2 layar mati (ngikutin autolock), begitu dibuka lagi harus nonton lagi dari awal... Kenapa gak kayak reels, selama ada video layar ga bakal mati.",1
Ni Komang Triana Febriyanti,"Akhir-akhir ini update instagram jelek dan tidak merata. Aku punya 4 akun, dan yang paling kena update biasanya cuma akun paling pertama yang dilogin di aplikasi. Paling ga nyaman sama update beranda feed yang rasionya ga 1:1 lagi, malah memanjang. Ini merusak sekali penampilan beranda feed, khususnya yang akunnya makai grid. Herannya ini cuma terjadi di 1st acc, di akunku yang lain maupun akun temanku ga dapat upgrade yg sama. Mohon diperbaiki segera.",3
XI-7 Eliza Annaasya,"Lagu-lagu yang harusnya ada malah gak ada, susah nyarinya, pas dicari masih ada lagu-lagu yang kurang relevan dengan yang dicari. Fitur-fitur lain yang sebelumnya sudah benar ada, malah ditiadakan.",4
